bin_left_meV,bin_right_meV,median_Hz_per_meV
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,8.000000000000000000e+00,4.228058936579116162e-04
8.000000000000000000e+00,9.000000000000000000e+00,7.379884689301730027e-03
9.000000000000000000e+00,1.000000000000000000e+01,5.311979500320307412e-02
1.000000000000000000e+01,1.100000000000000000e+01,1.691992312620115291e-01
1.100000000000000000e+01,1.200000000000000000e+01,2.420371556694426718e-01
1.200000000000000000e+01,1.300000000000000000e+01,2.143241511851377290e-01
1.300000000000000000e+01,1.400000000000000000e+01,1.583344010249839728e-01
1.400000000000000000e+01,1.500000000000000000e+01,1.170916079436258861e-01
1.500000000000000000e+01,1.600000000000000000e+01,8.256245996156309774e-02
1.600000000000000000e+01,1.700000000000000000e+01,5.818065342729019512e-02
1.700000000000000000e+01,1.800000000000000000e+01,4.092248558616271709e-02
1.800000000000000000e+01,1.900000000000000000e+01,2.793081358103779652e-02
1.900000000000000000e+01,2.000000000000000000e+01,2.025624599615630933e-02
2.000000000000000000e+01,2.100000000000000000e+01,1.337604099935938567e-02
2.100000000000000000e+01,2.200000000000000000e+01,9.199231262011530949e-03
2.200000000000000000e+01,2.300000000000000000e+01,6.342088404868674242e-03
2.300000000000000000e+01,2.400000000000000000e+01,4.240871236386931087e-03
2.400000000000000000e+01,2.500000000000000000e+01,2.908392056374119010e-03
2.500000000000000000e+01,2.600000000000000000e+01,2.011531069827033908e-03
2.600000000000000000e+01,2.700000000000000000e+01,1.460602178090967401e-03
2.700000000000000000e+01,2.800000000000000000e+01,1.012171684817424634e-03
2.800000000000000000e+01,2.900000000000000000e+01,8.327994875080076565e-04
2.900000000000000000e+01,3.000000000000000000e+01,6.406149903907751037e-04
3.000000000000000000e+01,3.100000000000000000e+01,5.253042921204355720e-04
3.100000000000000000e+01,3.200000000000000000e+01,4.228058936579116162e-04
3.200000000000000000e+01,3.300000000000000000e+01,3.331197950032030734e-04
3.300000000000000000e+01,3.400000000000000000e+01,2.946828955797565629e-04
3.400000000000000000e+01,3.500000000000000000e+01,2.562459961563100523e-04
3.500000000000000000e+01,3.600000000000000000e+01,2.178090967328635418e-04
3.600000000000000000e+01,3.700000000000000000e+01,1.921844971172325528e-04
3.700000000000000000e+01,3.800000000000000000e+01,1.537475976937860422e-04
3.800000000000000000e+01,3.900000000000000000e+01,1.537475976937860422e-04
3.900000000000000000e+01,4.000000000000000000e+01,1.537475976937860422e-04
4.000000000000000000e+01,4.300000000000000000e+01,1.110399316677343533e-04
4.300000000000000000e+01,4.600000000000000000e+01,8.968609865470852916e-05
4.600000000000000000e+01,4.900000000000000000e+01,7.260303224428784274e-05
4.900000000000000000e+01,5.200000000000000000e+01,6.406149903907751308e-05
5.200000000000000000e+01,5.500000000000000000e+01,5.124919923126201182e-05
5.500000000000000000e+01,5.800000000000000000e+01,5.551996583386717665e-05
5.800000000000000000e+01,6.100000000000000000e+01,5.124919923126201182e-05
6.100000000000000000e+01,6.400000000000000000e+01,4.697843262865684022e-05
6.400000000000000000e+01,6.700000000000000000e+01,5.124919923126201182e-05
6.700000000000000000e+01,7.000000000000000000e+01,4.697843262865684022e-05
7.000000000000000000e+01,5.000000000000000000e+02,2.344948825290883910e-05
